,Timestamp,IV_ask,IV_bid
0,1683851465262272147,-0.0020971260050491156,-0.0008573519877170858
1,1683851525460027228,-0.0018980534147013785,-0.0019851620043826517
2,1683851530479792654,0.331471133828221,-0.0019851620043826517
3,1683851650874451878,0.3307890892671669,-0.00211960918502826
4,1683851706060035120,0.331471133828221,-0.002209094995077499
6,1683851761233746934,0.331471133828221,-0.002209094995077499
7,1683852078079985108,0.331471133828221,-0.002209094995077499
12,1683852183421769086,0.331471133828221,0.33875652248489996
13,1683852716000795344,0.3308743536887213,0.3349489551218448
14,1683853200011016589,0.3318397401307963,0.33427400888176717
15,1683853313277396805,0.3299044989114478,0.32761754330153336
16,1683853534689387753,0.3300579367422429,0.3265711776921448
18,1683853542547832731,0.3235521292032254,0.3232216655932227
19,1683853707548522844,0.323745025799843,0.32352450448046394
20,1683853777596455805,0.3251158557169441,0.3258519329952097
21,1683853851123882420,0.3282303881322548,0.3286147634831319
22,1683853930015273389,0.33125414609727805,0.33312442183559593
23,1683854157050194373,0.3304796260417967,0.33127714647651385
24,1683854445819816273,0.3263070943760844,0.32674873939865245
25,1683854568431618984,0.3281761278664972,0.3285649994708147
26,1683854853663320779,0.33584106330523433,0.33629150786044026
27,1683855338855141232,0.33329467813789493,0.33366511084409667
28,1683856163391829372,0.3289288227400964,0.3268929661797501
29,1683856606058177737,0.3232658273459385,0.3216668385061337
30,1683856609132342754,0.3166835537223336,0.31589158929135963
31,1683856748437598026,0.32260826944907456,0.32279958785606305
32,1683856902815325095,0.31950301254055913,0.3190573324964056
33,1683857161855824842,0.32001201494840537,0.319487834312547
35,1683857467956225275,0.32460984871280535,0.3224607815274813
36,1683860402513219162,0.32655350801868277,0.3258901785127968
37,1683860655528403854,0.3187478405207279,0.3186801797144961
38,1683860713538028596,0.3166685148248467,0.31589158929135963
39,1683861918683737849,0.31978347916168376,0.3169015700071187
40,1683862129643484218,0.3207269957848383,0.3181540503150182
41,1683862700755371422,0.3186797420700562,0.3157765708604948
42,1683864199059999470,0.32132170722327985,0.3191677832439265
43,1683867710713383372,0.308405629698311,0.3055388464328386
44,1683868288099436546,0.312621183761898,0.31147881462966515
45,1683869120173275303,0.3030448149190573,0.302190020101474
46,1683869401055047099,0.3027991292904767,0.30182495617031785
